Code,Name,Lname,Sname,Conifer/Broad,,,,,
BC,Pine_1,Pinus nigra,pini,C,,,,,http://www.forestportal.sk/lesne-hospodarstvo/hospodarska-uprava-lesov/Stranky/atlas-drevin.aspx
BK,Beech,Fagus sylvatica,fasy,B,,,,,
BO,Pine_2,Pinus sylvestris,pisy,C,,,,,
DG,Douglas,Pseudotsuga menziesii,psme,C,,,,,
DZ,Oak_1,Quercus petraea,qupe,B,,,,,
JB,Rowan,Sorbus aucuparia,soau,B,,,,,
JH,Acer_1,Acer pseudoplatanus,acps,B,,,,,
JL,Alder_1,Alnus glutinosa,algl,B,,,,,
JM,Acer_2,Acer platanoides,acpl,B,,,,,
JS,Ash,Fraxinus excelsior,frex,B,,,,,
JX,Alder_2,Alnus incanam,alin,B,,,,,
LM,Lime_1,Tilia cordata,tico,B,,,,,
LV,Lime_2,Tilia platyphyllos.,tipl,B,,,,,
SC,Larch,Larix decidua,lade,C,,,,,
SM,Spruce_1,Picea abies,piab,C,,,,,
SP,Spruce_2,Picea pungens,piab,C,,,,,
VB,Wilow,Salix alba,saca,B,,,,,
JD,Fir,Abies alba,abal,C,,,,,
VF,,Salix fragilis,saca,B,,,,,
KS,,Pinus mugo,pisy,C,,,,,
OS,,Populus tremula,potr,B,,,,,
BR,,Betula pendula,bepe,B,,,,,
TB,,Populus alba,potr,B,,,,,
MK,,Sorbus aria,soar,B,,,,,
JB,,Sorbus aucuparia,soau,B,,,,,
VK,,Salix caprea,saca,B,,,,,
BH,,Ulmus glabra,ulgl,B,,,,,
LP,,some lime,tico,B,,,,,
DB,,,qupe,B,,,,,
